"Hospital","Ph_no","Street","Suburb","Pcode","State","LHN","PHN","Website","Description","Sector","Beds","Lat","Long","bed_grp","ED","Regional","Size","Special","web_address"
"Dirranbandi Hospital","07 4625 8222","Corner of Jane and Cowildi Streets","Dirranbandi",4486,"Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_dirran_hosp.asp","Regional hospital","Public","<50",-28.579349,148.229159,1,0,1,0,0,"https://www.health.qld.gov.au/services/southwest/swest_dirran_hosp.asp"
"Djerriwarrh Health Service [Bacchus Marsh]","03 5367 2000","29-35 Grant Street","Bacchus Marsh",3340,"Vic","Djerriwarrh Health Service (Vic)","North Western Melbourne","www.meltonhealth.com.au/","Small hospital","Public","<50",-37.678267,144.433264,1,0,0,1,0,"https://www.meltonhealth.com.au/"
"Dongara Eneabba Mingenew Health Service","08 9927 0200","48 Blenheim Road","Dongara",6525,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=226","Regional hospital","Public","<50",-29.265173,114.934179,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=226"
"Donnybrook Hospital","08 9780 4333","Bentley Street","Donnybrook",6239,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=49","Regional hospital","Public","<50",-33.576942,115.816547,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=49"
"Donvale Rehabilitation Hospital","03 9841 1400","1119 Doncaster Road","Donvale",3111,"Vic","","","www.donvalerehabilitationhospital.com.au/","","Private","50-99",-37.789836,145.171655,2,0,0,0,0,"https://www.donvalerehabilitationhospital.com.au/"
"Doomadgee Hospital","07 4745 8800","Sharpe Street","Doomadgee",4830,"Qld","North West (Qld)","Western Queensland","www.health.qld.gov.au/services/northwest/nwest_doomad_hosp.asp","Regional hospital","Public","<50",-17.942527,138.825267,1,0,1,0,0,"https://www.health.qld.gov.au/services/northwest/nwest_doomad_hosp.asp"
"Dorrigo Multi Purpose Service","02 6692 7700","14 Beech Street","Dorrigo",2453,"NSW","Mid North Coast","North Coast","","Regional hospital with an emergency department","Public","<50",-30.340625,152.713882,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Dorset Rehabilitation Centre","03 8371 9477","146 Derby Street","Pascoe Vale",3044,"Vic","","","www.dorsetrehabilitationcentre.com.au","","Private","<50",-37.723402,144.947436,1,0,0,0,0,"https://www.dorsetrehabilitationcentre.com.au"
"Dubbo Hospital","02 6809 6809","Myall Street","Dubbo",2830,"NSW","Western NSW","Western NSW","","Large regional hospital with an emergency department","Public","100-199",-32.239339,148.620772,3,1,1,3,0,"https://www.myhospitals.gov.au"
"Dudley-Orange Private Hospital","02 6362 8122","261 March Street","Orange",2800,"NSW","","","www.dudleyprivate.com.au","","Private","50-99",-33.282219,149.121236,2,0,0,0,0,"https://www.dudleyprivate.com.au"
"Dumbleyung Memorial Hospital","08 9863 5222","Mcintyre Street","Dumbleyung",6350,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=50","Regional hospital","Public","<50",-33.310409,117.740499,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=50"
"Dunedoo Multi Purpose Service","02 6370 3000","70 Digilah Street","Dunedoo",2844,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.017204,149.397366,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Dungog Hospital","02 4995 7000","58 Hospital Road","Dungog",2420,"NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-32.401948,151.746157,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Dysart Hospital","07 4941 1911","Queen Elizabeth Drive","Dysart",4745,"Qld","Mackay","Northern Queensland","www.health.qld.gov.au/services/mackay/dysart_hosp.asp","Regional hospital","Public","<50",-22.582729,148.353044,1,0,1,0,0,"https://www.health.qld.gov.au/services/mackay/dysart_hosp.asp"
"East Grampians Health Service [Ararat]","03 5352 9300","Lot 5B Girdlestone Street","Ararat",3377,"Vic","East Grampians Health Service","Western Victoria","www.eghs.net.au","Small hospital","Public","<50",-37.278816,142.932858,1,0,0,1,0,"https://www.eghs.net.au"
"East Grampians Health Service [Willaura]","03 5354 1600","Delacombe Way","Willaura",3379,"Vic","East Grampians Health Service","Western Victoria","www.eghs.net.au","Regional hospital","Public","<50",-37.544798,142.74587,1,0,1,0,0,"https://www.eghs.net.au"
"East Wimmera Health Service [Birchip]","03 5477 7100","26 Duncan Street","Birchip",3483,"Vic","East Wimmera Health Service","Murray","www.ewhs.org.au","Regional hospital","Public","<50",-35.980167,142.915891,1,0,1,0,0,"https://www.ewhs.org.au"
"East Wimmera Health Service [Charlton]","03 5477 6800","4 Menzies Street","Charlton",3525,"Vic","East Wimmera Health Service","Murray","www.ewhs.org.au","Regional hospital","Public","<50",-36.271037,143.345889,1,0,1,0,0,"https://www.ewhs.org.au"
"East Wimmera Health Service [Donald]","03 5478 6200","7 Aitken Avenue","Donald",3480,"Vic","East Wimmera Health Service","Murray","www.ewhs.org.au","Regional hospital","Public","<50",-36.366895,142.976583,1,0,1,0,0,"https://www.ewhs.org.au"
"East Wimmera Health Service [St Arnaud]","03 5477 2100","52 North Western Road","St Arnaud",3478,"Vic","East Wimmera Health Service","Western Victoria","www.ewhs.org.au","Small hospital","Public","<50",-36.609275,143.246676,1,0,0,1,0,"https://www.ewhs.org.au"
"East Wimmera Health Service [Wycheproof]","03 5478 0700","19 Grandview Street","Wycheproof",3527,"Vic","East Wimmera Health Service","Murray","www.ewhs.org.au","Regional hospital","Public","<50",-36.078447,143.233779,1,0,1,0,0,"https://www.ewhs.org.au"
"Eastern Heart Clinic","02 9382 0700","Level 3, Campus Centre Building, Prince of Wales Hospital, Barker Street","Randwick",2031,"NSW","","","www.ehc.com.au","","Private","<50",-33.920616,151.237986,1,0,0,0,0,"https://www.ehc.com.au"
"Echuca Regional Health","03 5485 5000","9-27 Francis Street","Echuca",3564,"Vic","Echuca Regional Health","Murray","www.erh.org.au","Small hospital with an emergency department","Public","50-99",-36.138186,144.748369,2,1,0,1,0,"https://www.erh.org.au"
"Edenhope and District Memorial Hospital","03 5585 9800","128-134 Elizabeth Street","Edenhope",3318,"Vic","Edenhope and District Memorial Hospital","Western Victoria","www.edmh.org.au","Regional hospital","Public","<50",-37.035323,141.288829,1,0,1,0,0,"https://www.edmh.org.au"
"Eidsvold Hospital","07 4165 7100","Cracow Road","Eidsvold",4627,"Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-eidsvold.asp","Regional hospital","Public","<50",-25.382639,151.125494,1,0,1,0,0,"https://www.health.qld.gov.au/services/widebay/wb-eidsvold.asp"
"Ellen Barron Family Centre","07 3139 6500","Hamilton Road","Chermside",4032,"Qld","Children's Health Queensland","Brisbane North","www.health.qld.gov.au/ellenbarronfamilycentre","Early parenting centre","Public","<50",-27.385905,153.025152,1,0,0,0,0,"https://www.health.qld.gov.au/ellenbarronfamilycentre"
"Elliston Hospital","08 8687 9001","6 Memorial Terrace","Elliston",5670,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/ellistonhospital","Regional hospital","Public","<50",-33.647912,134.892443,1,0,1,0,0,"https://www.sahealth.sa.gov.au/ellistonhospital"
"Emerald Hospital","07 4987 9400","69 Hospital Road","Emerald",4720,"Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/emerald.asp","Small hospital","Public","<50",-23.514826,148.154989,1,0,0,1,0,"https://www.health.qld.gov.au/services/central-queensland/emerald.asp"
"Epping Surgery Centre","02 9868 6555","Suite 3, Oxford Place, 44-46 Oxford Street","Epping",2121,"NSW","","","www.eesc.com.au","","Private","<50",-33.771132,151.083676,1,0,0,0,0,"https://www.eesc.com.au"
"Epworth Cliveden","03 9419 7122","29 Simpson Street","East Melbourne",3002,"Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Cliveden.aspx","","Private","<50",-37.815662,144.987547,1,0,0,0,0,"https://www.epworth.org.au/Our-Hospitals/Pages/Epworth-Cliveden.aspx"
"Epworth Eastern","03 8807 7100","1 Arnold Street","Box Hill",3128,"Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Eastern.aspx","","Private","200-500",-37.814678,145.119368,4,0,0,0,0,"https://www.epworth.org.au/Our-Hospitals/Pages/Epworth-Eastern.aspx"
"Epworth Freemasons [Clarendon Street]","03 9483 3833","166 Clarendon Street","East Melbourne",3002,"Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Freemasons.aspx","","Private","100-199",-37.810694,144.984107,3,0,0,0,0,"https://www.epworth.org.au/Our-Hospitals/Pages/Epworth-Freemasons.aspx"
"Epworth Freemasons [Victoria Parade]","03 9418 8188","320 Victoria Parade","East Melbourne",3002,"Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Freemasons.aspx","","Private","50-99",-37.809284,144.98212,2,0,0,0,0,"https://www.epworth.org.au/Our-Hospitals/Pages/Epworth-Freemasons.aspx"
"Epworth Geelong","03 9426 8907","1 Epworth Place","Waurn Ponds",3216,"Vic","","","www.epworthgeelong.org.au","","Private","100-199",-38.193882,144.302472,3,0,0,0,0,"https://www.epworthgeelong.org.au"
"Epworth Hawthorn","03 9415 5777","50 Burwood Road","Hawthorn",3122,"Vic","","","www.epworth.org.au","","Private","<50",-37.821229,145.023405,1,0,0,0,0,"https://www.epworth.org.au"
"Epworth Rehabilitation Brighton","03 9591 9200","85 Wilson Street","Brighton",3186,"Vic","","","https://www.epworth.org.au/Our-Hospitals/Epworth-Brighton/Pages/Overview.aspx","","Private","50-99",-37.913689,145.002815,2,0,0,0,0,"https://www.epworth.org.au/Our-Hospitals/Epworth-Brighton/Pages/Overview.aspx"
"Epworth Rehabilitation Camberwell","03 9809 2444","888 Toorak Road","Camberwell",3124,"Vic","","","www.epworth.org.au/Our-Hospitals/Epworth-Camberwell/Pages/Overview.aspx","","Private","50-99",-37.846223,145.054689,2,0,0,0,0,"https://www.epworth.org.au/Our-Hospitals/Epworth-Camberwell/Pages/Overview.aspx"
"Epworth Rehabilitation Richmond","03 9426 6666","89 Bridge Road","Richmond",3121,"Vic","","","www.epworth.org.au/Our-Hospitals/Epworth-Richmond/Pages/Overview.aspx","","Private","50-99",-37.817419,144.993503,2,0,0,0,0,"https://www.epworth.org.au/Our-Hospitals/Epworth-Richmond/Pages/Overview.aspx"
"Epworth Richmond","03 9426 6666","89 Bridge Road","Richmond",3121,"Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Richmond.aspx","","Private","200-500",-37.817433,144.993029,4,0,0,0,0,"https://www.epworth.org.au/Our-Hospitals/Pages/Epworth-Richmond.aspx"
"Esk Hospital","07 5424 4600","30 Highland Street","Esk",4312,"Qld","West Moreton","Darling Downs and West Moreton","www.health.qld.gov.au/services/westmoreton/esk-hs.asp","Regional hospital","Public","<50",-27.240398,152.418179,1,0,1,0,0,"https://www.health.qld.gov.au/services/westmoreton/esk-hs.asp"
"Esperance Hospital","08 9071 0888","Hicks Street","Esperance",6450,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=55","Small hospital","Public","<50",-33.856188,121.892205,1,0,0,1,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=55"
"Esperance Multi Purpose Centre","03 6298 9200","Chapman Avenue","Dover",7117,"Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/esperance_multi_purpose_centre","Regional hospital","Public","<50",-43.314749,147.016209,1,0,1,0,0,"https://www.dhhs.tas.gov.au/service_information/service_delivery_points/esperance_multi_purpose_centre"
"Essendon Private Hospital","03 9337 9577","35 Rosehill Road","West Essendon",3040,"Vic","","","http://essendonprivate.com.au","","Private","<50",-37.748597,144.885403,1,0,0,0,0,"http://essendonprivate.com.au"
"Eudunda Hospital","08 8566 2007","40 Ward Street","Eudunda",5374,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/eudundahospital","Regional hospital","Public","<50",-34.175482,139.090586,1,0,1,0,0,"https://www.sahealth.sa.gov.au/eudundahospital"
"Eugowra Multipurpose Service","02 6850 4000","Cooper Street","Eugowra",2806,"NSW","Western NSW","Western NSW","","Regional hospital","Public","<50",-33.424421,148.366799,1,0,1,0,0,"https://www.myhospitals.gov.au"
"Exmouth Hospital","08 9949 3666","Lyon Street","Exmouth",6707,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=57","Regional hospital","Public","<50",-21.928276,114.119882,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=57"
"Eye-Tech Day Surgeries","07 3831 4244","Level 5, St Andrews Place, 33 North Street","Spring Hill",4000,"Qld","","","http://www.curagroup.com.au/eye-tech-day-surgeries-spring-hill","","Private","",-27.461026,153.021898,0,0,0,0,0,"http://www.curagroup.com.au/eye-tech-day-surgeries-spring-hill"
"Eye-Tech Day Surgeries Southside","07 3420 2666","22-26 Sanders Street","Upper Mt Gravatt",4122,"Qld","","","http://www.curagroup.com.au/eye-tech-day-surgeries-southside","","Private","",-27.557642,153.082042,0,0,0,0,0,"http://www.curagroup.com.au/eye-tech-day-surgeries-southside"
"Fairfield Hospital","02 9616 8111","Corner of Polding Street and Prairie Vale Road","Prairiewood",2176,"NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/fairfield/","Medium metropolitan hospital with an emergency department","Public","200-500",-33.860117,150.904339,4,1,0,2,0,"https://www.swslhd.health.nsw.gov.au/fairfield/"
"Figtree Private Hospital","02 4255 5000","1 Suttor Place","Figtree",2525,"NSW","","","www.figtreeprivate.com.au","","Private","100-199",-34.440199,150.851024,3,0,0,0,0,"https://www.figtreeprivate.com.au"
"Finley Hospital","03 5883 1133","20-22 Dawe Avenue","Finley",2713,"NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.641725,145.568139,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Fiona Stanley Hospital","08 6152 2222","11 Robin Warren Drive","Murdoch",6150,"WA","South Metropolitan Health Service (WA)","Perth South","http://www.fsh.health.wa.gov.au/","Major hospital with an emergency department","Public",">500",-32.07012,115.846909,5,1,0,4,0,"http://www.fsh.health.wa.gov.au/"
"Fitzroy Crossing Hospital","08 9166 1777","Fallon Road","Fitzroy Crossing",6765,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=58","Regional hospital","Public","<50",-18.191439,125.562765,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=58"
"Flinders Island Multi Purpose Centre","03 6359 2122","James Street","Whitemark",7255,"Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/flinders_island_multi-purpose_centre","Regional hospital","Public","<50",-40.121173,148.017059,1,0,1,0,0,"https://www.dhhs.tas.gov.au/service_information/service_delivery_points/flinders_island_multi-purpose_centre"
"Flinders Medical Centre","08 8204 5511","Flinders Drive","Bedford Park",5042,"SA","Southern Adelaide","Adelaide","www.flinders.sa.gov.au","Major hospital with an emergency department","Public",">500",-35.022229,138.569439,5,1,0,4,0,"https://www.flinders.sa.gov.au"
"Flinders Private Hospital","08 8275 3333","1 Flinders Drive","Bedford Park",5042,"SA","","","www.flindersprivatehospital.org.au","","Private","100-199",-35.020629,138.568089,3,0,0,0,0,"https://www.flindersprivatehospital.org.au"
"Forster Private Hospital","02 6555 1333","29-41 South Street","Forster",2428,"NSW","","","www.pulsehealth.net.au","","Private","50-99",-32.188561,152.514079,2,0,0,0,0,"https://www.pulsehealth.net.au"
"Frances Perry House","03 9344 5000","Levels 6 and 7, Corner of Grattan Street and Flemington Road","Parkville",3052,"Vic","","","www.francesperryhouse.com.au","","Private","100-199",-37.798758,144.955135,3,0,0,0,0,"https://www.francesperryhouse.com.au"
"Frankston Hospital","03 9784 7777","2 Hastings Road","Frankston",3199,"Vic","Peninsula Health (Vic)","South Eastern Melbourne","","Large metropolitan hospital with an emergency department","Public","200-500",-38.150791,145.128428,4,1,0,3,0,"https://www.myhospitals.gov.au"
"Frankston Private Hospital","03 8796 1300","24-28 Frankston Flinders Road","Frankston",3199,"Vic","","","http://frankstonprivatehospital.com.au","","Private","50-99",-38.154662,145.132902,2,0,0,0,0,"http://frankstonprivatehospital.com.au"
"Fremantle Hospital","08 9431 3333","Alma Street","Fremantle",6160,"WA","South Metropolitan Health Service (WA)","Perth South","www.fhhs.health.wa.gov.au","Large metropolitan hospital","Public","200-500",-32.058263,115.751448,4,0,0,3,0,"https://www.fhhs.health.wa.gov.au"
"Friendly Society Private Hospital","07 4331 1000","19-23 Bingera Street","Bundaberg",4670,"Qld","","","https://thefriendlies.org.au","","Private","100-199",-24.870831,152.3429,3,0,0,0,0,"https://thefriendlies.org.au"
"Fullarton Private Hospital","08 8272 0233","293-295 Fullarton Road","Parkside",5063,"SA","","","www.fullartonprivate.com.au/","","Private","<50",-34.949265,138.624852,1,0,0,0,0,"https://www.fullartonprivate.com.au/"
"Gatton Hospital","07 5468 4188","97-103 William Street","Gatton",4343,"Qld","West Moreton","Darling Downs and West Moreton","www.health.qld.gov.au/services/westmoreton/gatton-hs.asp","Regional hospital","Public","<50",-27.566778,152.276269,1,0,1,0,0,"https://www.health.qld.gov.au/services/westmoreton/gatton-hs.asp"
"Gawler Health Service","08 8521 2000","21 Hutchinson Road","Gawler East",5118,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/gawlerhospital","Small hospital with an emergency department","Public","50-99",-34.593743,138.755044,2,1,0,1,0,"https://www.sahealth.sa.gov.au/gawlerhospital"
"Gayndah Hospital","07 4161 3500","69 Warton Street","Gayndah",4625,"Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-gayndah.asp","Regional hospital","Public","<50",-25.631384,151.604531,1,0,1,0,0,"https://www.health.qld.gov.au/services/widebay/wb-gayndah.asp"
"George Town Hospital and Community Health Centre","03 6702 6020","47 Anne Street","George Town",7253,"Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/george_town_district_hospital_and_community_health_centre","Regional hospital","Public","<50",-41.103782,146.821149,1,0,1,0,0,"https://www.dhhs.tas.gov.au/service_information/service_delivery_points/george_town_district_hospital_and_community_health_centre"
"Geraldton Hospital","08 9956 2222","51-85 Shenton Street","Geraldton",6530,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=64","Medium regional hospital with an emergency department","Public","100-199",-28.782808,114.610844,3,1,1,2,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=64"
"Gilgandra Multi Purpose Service","02 6880 5900","6 Chelmsford Avenue","Gilgandra",2827,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-31.704565,148.664889,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Gin Gin Hospital","07 4157 2222","5 King Street","Gin Gin",4671,"Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-gingin.asp","Regional hospital","Public","<50",-24.985707,151.953449,1,0,1,0,0,"https://www.health.qld.gov.au/services/widebay/wb-gingin.asp"
"Gippsland Southern Health Service - Korumburra","03 5654 2777","69-75 Bridge Street","Korumburra",3950,"Vic","Gippsland Southern Health Service","Gippsland","www.gshs.com.au","Small hospital","Public","<50",-38.430328,145.828249,1,0,0,1,0,"https://www.gshs.com.au"
"Gippsland Southern Health Service - Leongatha","03 5667 5555","66 Koonawarra Road","Leongatha",3953,"Vic","Gippsland Southern Health Service","Gippsland","www.gshs.com.au","Small hospital","Public","<50",-38.487171,145.950343,1,0,0,1,0,"https://www.gshs.com.au"
"Gladstone Hospital","07 4976 3200","Park Street","Gladstone",4680,"Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/gladstone.asp","Medium regional hospital with an emergency department","Public","50-99",-23.850654,151.248532,2,1,1,2,0,"https://www.health.qld.gov.au/services/central-queensland/gladstone.asp"
"Glen Eira Day Surgery","03 9595 6600","544 Hawthorn Road","Caulfield South",3162,"Vic","","","www.caulfieldendoscopy.com.au","","Private","<50",-37.900377,145.019265,1,0,0,0,0,"https://www.caulfieldendoscopy.com.au"
"Glen Innes Hospital","02 6739 0200","94 Taylor Street","Glen Innes",2370,"NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50",-29.733293,151.731673,1,1,0,1,0,"https://www.myhospitals.gov.au"
"Glenelg Community Hospital Inc","08 8294 5555","5 Farrell Street","Glenelg South",5045,"SA","","","www.glenelghosp.com.au","","Private","<50",-34.990189,138.512321,1,0,0,0,0,"https://www.glenelghosp.com.au"
"Glenferrie Private Hospital","03 9009 3800","29 Hilda Crescent","Hawthorn",3122,"Vic","","","","","Private","<50",-37.819459,145.031544,1,0,0,0,0,"https://www.myhospitals.gov.au"
"Glengarry Private Hospital","08 9447 0111","53 Arnisdale Road","Duncraig",6023,"WA","","","www.glengarryprivate.com.au","","Private","100-199",-31.834253,115.784826,3,0,0,0,0,"https://www.glengarryprivate.com.au"
"Glenside Health Services","08 7087 1000","226 Fullarton Road","Glenside",5065,"SA","Central Adelaide","Adelaide","www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/mental+health+services","Specialist psychiatric hospital","Public","100-199",-34.943429,138.627714,3,0,0,0,1,"https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/mental+health+services"
"Gloucester Hospital","02 6538 5000","166-182 Church Street","Gloucester",2422,"NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","50-99",-32.014787,151.958556,2,1,0,1,0,"https://www.myhospitals.gov.au"
"Gnowangerup Hospital","08 9827 2222","Yougenup Road","Gnowangerup",6335,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=68","Regional hospital","Public","<50",-33.930469,118.002927,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=68"
"Gold Coast Private Hospital","07 5530 0300","14 Hill Street","Southport",4215,"Qld","","","www.goldcoastprivate.com.au","","Private","200-500",-27.962084,153.385112,4,0,0,0,0,"https://www.goldcoastprivate.com.au"
"Gold Coast University Hospital","07 5687 0000","1 Hospital Boulevard","Southport",4215,"Qld","Gold Coast","Gold Coast","www.health.qld.gov.au/goldcoasthealth","Major hospital with an emergency department","Public",">500",-27.958896,153.381173,5,1,0,4,0,"https://www.health.qld.gov.au/goldcoasthealth"
"Golf Links Road Rehabilitation Centre","03 9783 7277","125 Golf Links Road","Frankston",3199,"Vic","Peninsula Health (Vic)","South Eastern Melbourne","www.peninsulahealth.org.au/locations/golf-links-road-rehabilitation-centre/","Metropolitan hospital","Public","50-99",-38.173447,145.149769,2,0,0,0,0,"https://www.peninsulahealth.org.au/locations/golf-links-road-rehabilitation-centre/"
"Goodooga Health Service","02 6820 6200","49 Hammond Street","Goodooga",2831,"NSW","Western NSW","Western NSW","","Regional hospital","Public","<50",-29.110249,147.456114,1,0,1,0,0,"https://www.myhospitals.gov.au"
"Goomalling Hospital","08 9629 0100","Forrest Street","Goomalling",6460,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=70","Regional hospital","Public","<50",-31.303928,116.831102,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=70"
"Goondiwindi Hospital","07 4578 2400","Bowen Street","Goondiwindi",4390,"Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-goondiwind-hs.asp","Small hospital","Public","<50",-28.547951,150.302302,1,0,0,1,0,"https://www.health.qld.gov.au/services/darlingdowns/ddowns-goondiwind-hs.asp"
"Gordonvale Hospital","07 4043 3100","1-11 Highleigh Road","Gordonvale",4865,"Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_gord_hosp.asp","Regional hospital","Public","<50",-17.087337,145.786159,1,0,1,0,0,"https://www.health.qld.gov.au/services/cairns-hinterland/cairns_gord_hosp.asp"
"Gosford Hospital","02 4320 2111","76 Holden Street","Gosford",2250,"NSW","Central Coast","Hunter New England and Central Coast","www.cclhd.health.nsw.gov.au/","Large metropolitan hospital with an emergency department","Public","200-500",-33.419451,151.340328,4,1,0,3,0,"https://www.cclhd.health.nsw.gov.au/"
"Goulburn Hospital","02 4827 3111","130 Goldsmith Street","Goulburn",2580,"NSW","Southern NSW","South Eastern NSW","","Medium regional hospital with an emergency department","Public","100-199",-34.747527,149.712806,3,1,1,2,0,"https://www.myhospitals.gov.au"
"Goulburn Valley Health [Shepparton]","03 5832 2322","2 Graham Street","Shepparton",3630,"Vic","Goulburn Valley Health","Murray","","Large regional hospital with an emergency department","Public","200-500",-36.363625,145.404911,4,1,1,3,0,"https://www.myhospitals.gov.au"
"Goulburn Valley Health [Tatura]","03 5824 8400","64-68 Park Street","Tatura",3616,"Vic","Goulburn Valley Health","Murray","","Regional hospital","Public","<50",-36.439082,145.225535,1,0,1,0,0,"https://www.myhospitals.gov.au"
"Goulburn Valley Health [Waranga]","03 5851 8050","14 Coyle Street","Rushworth",3612,"Vic","Goulburn Valley Health","Murray","www.gvhealth.org.au","Regional hospital","Public","<50",-36.587827,145.008593,1,0,1,0,0,"https://www.gvhealth.org.au"
"Gove Hospital","08 8987 0211","80 Matthew Flinders Way","Nhulunbuy",880,"NT","Top End (NT)","Northern Territory","https://nt.gov.au/wellbeing/hospitals-health-services/gove-district-hospital","Small hospital with an emergency department","Public","<50",-12.18602,136.777874,1,1,0,1,0,"https://nt.gov.au/wellbeing/hospitals-health-services/gove-district-hospital"
"Gower Wilson Multi Purpose Service","02 6563 2000","Lagoon Road","Lord Howe Island",2898,"NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/Health_Services/LordHoweIsland.asp","Regional hospital","Public","<50",-31.535603,159.071307,1,0,1,0,0,"https://www.seslhd.health.nsw.gov.au/Health_Services/LordHoweIsland.asp"
"Grafton Base Hospital","02 6640 2222","174 Arthur Street","Grafton",2460,"NSW","Northern NSW","North Coast","","Medium regional hospital with an emergency department","Public","50-99",-29.674807,152.941274,2,1,1,2,0,"https://www.myhospitals.gov.au"
"Graylands Selby-Lemnos and Special Care Health Service","08 9347 6600","Brockway Road","Mount Claremont",6010,"WA","North Metropolitan Health Service (WA)","Perth North","www.health.wa.gov.au/services/detail.cfm?Unit_ID=72","Specialist psychiatric hospital","Public","100-199",-31.961447,115.790855,3,0,0,0,1,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=72"
"Greenslopes Day Surgery","1800 802 562","687 Logan Road","Greenslopes",4120,"Qld","","","www.gsds.com.au","","Private","<50",-27.510139,153.052889,1,0,0,0,0,"https://www.gsds.com.au"
"Greenslopes Private Hospital","07 3394 7111","Newdegate Street","Greenslopes",4120,"Qld","","","www.greenslopesprivate.com.au","","Private",">500",-27.513052,153.046942,5,0,0,0,0,"https://www.greenslopesprivate.com.au"
"Greenwich Hospital","02 9903 8333","97-115 River Road","Greenwich",2065,"NSW","Northern Sydney","Northern Sydney","www.greenwichhospital.com.au","Metropolitan hospital","Public","<50",-33.827329,151.183376,1,0,0,0,0,"https://www.greenwichhospital.com.au"
