"Name","FinYear","variable","value"
"Otway Health & Community Services [Apollo Bay]","2013_14","Rate.per.10.000.bed.days",NA
"Otway Health & Community Services [Apollo Bay]","2014_15","Rate.per.10.000.bed.days",NA
"Otway Health & Community Services [Apollo Bay]","2015_16","Rate.per.10.000.bed.days",NA
"Otway Health & Community Services [Apollo Bay]","2016_17","Rate.per.10.000.bed.days",NA
"Peter MacCallum Cancer Centre","2010_11","Rate.per.10.000.bed.days",3.3
"Peter MacCallum Cancer Centre","2011_12","Rate.per.10.000.bed.days",2.3
"Peter MacCallum Cancer Centre","2012_13","Rate.per.10.000.bed.days",2.71
"Peter MacCallum Cancer Centre","2013_14","Rate.per.10.000.bed.days",2.3
"Peter MacCallum Cancer Centre","2014_15","Rate.per.10.000.bed.days",2.16
"Peter MacCallum Cancer Centre","2015_16","Rate.per.10.000.bed.days",1.95
"Peter MacCallum Cancer Centre","2016_17","Rate.per.10.000.bed.days",0.61
"Portland District Health","2010_11","Rate.per.10.000.bed.days",0
"Portland District Health","2011_12","Rate.per.10.000.bed.days",0
"Portland District Health","2012_13","Rate.per.10.000.bed.days",0
"Portland District Health","2013_14","Rate.per.10.000.bed.days",0.9
"Portland District Health","2014_15","Rate.per.10.000.bed.days",1.74
"Portland District Health","2015_16","Rate.per.10.000.bed.days",0.85
"Portland District Health","2016_17","Rate.per.10.000.bed.days",0
"Queen Elizabeth Centre [Noble Park]","2010_11","Rate.per.10.000.bed.days",0
"Queen Elizabeth Centre [Noble Park]","2011_12","Rate.per.10.000.bed.days",0
"Queen Elizabeth Centre [Noble Park]","2012_13","Rate.per.10.000.bed.days",0
"Queen Elizabeth Centre [Noble Park]","2013_14","Rate.per.10.000.bed.days",0
"Queen Elizabeth Centre [Noble Park]","2014_15","Rate.per.10.000.bed.days",0
"Queen Elizabeth Centre [Noble Park]","2015_16","Rate.per.10.000.bed.days",0
"Queen Elizabeth Centre [Noble Park]","2016_17","Rate.per.10.000.bed.days",0
"Robinvale District Health Services","2010_11","Rate.per.10.000.bed.days",NA
"Robinvale District Health Services","2011_12","Rate.per.10.000.bed.days",NA
"Robinvale District Health Services","2012_13","Rate.per.10.000.bed.days",NA
"Robinvale District Health Services","2013_14","Rate.per.10.000.bed.days",NA
"Robinvale District Health Services","2014_15","Rate.per.10.000.bed.days",NA
"Robinvale District Health Services","2015_16","Rate.per.10.000.bed.days",NA
"Robinvale District Health Services","2016_17","Rate.per.10.000.bed.days",NA
"Rochester & Elmore District Health Service","2010_11","Rate.per.10.000.bed.days",NA
"Rochester & Elmore District Health Service","2011_12","Rate.per.10.000.bed.days",NA
"Rochester & Elmore District Health Service","2012_13","Rate.per.10.000.bed.days",NA
"Rochester & Elmore District Health Service","2013_14","Rate.per.10.000.bed.days",NA
"Rochester & Elmore District Health Service","2014_15","Rate.per.10.000.bed.days",NA
"Rochester & Elmore District Health Service","2015_16","Rate.per.10.000.bed.days",NA
"Rochester & Elmore District Health Service","2016_17","Rate.per.10.000.bed.days",NA
"Rosebud Hospital","2010_11","Rate.per.10.000.bed.days",0.39
"Rosebud Hospital","2011_12","Rate.per.10.000.bed.days",0.36
"Rosebud Hospital","2012_13","Rate.per.10.000.bed.days",0.38
"Rosebud Hospital","2013_14","Rate.per.10.000.bed.days",1.4
"Rosebud Hospital","2014_15","Rate.per.10.000.bed.days",0.34
"Rosebud Hospital","2015_16","Rate.per.10.000.bed.days",0
"Rosebud Hospital","2016_17","Rate.per.10.000.bed.days",0.34
"Rosebud Rehabilitation Unit","2010_11","Rate.per.10.000.bed.days",0
"Rosebud Rehabilitation Unit","2011_12","Rate.per.10.000.bed.days",0
"Royal Children's Hospital [Parkville]","2010_11","Rate.per.10.000.bed.days",2
"Royal Children's Hospital [Parkville]","2011_12","Rate.per.10.000.bed.days",1.22
"Royal Children's Hospital [Parkville]","2012_13","Rate.per.10.000.bed.days",1.43
"Royal Children's Hospital [Parkville]","2013_14","Rate.per.10.000.bed.days",1.26
"Royal Children's Hospital [Parkville]","2014_15","Rate.per.10.000.bed.days",2.17
"Royal Children's Hospital [Parkville]","2015_16","Rate.per.10.000.bed.days",1.52
"Royal Children's Hospital [Parkville]","2016_17","Rate.per.10.000.bed.days",0.99
"Royal Children's Hospital [Travancore Psych]","2010_11","Rate.per.10.000.bed.days",NA
"Royal Children's Hospital [Travancore Psych]","2011_12","Rate.per.10.000.bed.days",NA
"Royal Melbourne Hospital [Parkville]","2010_11","Rate.per.10.000.bed.days",2
"Royal Melbourne Hospital [Parkville]","2011_12","Rate.per.10.000.bed.days",1.34
"Royal Melbourne Hospital [Parkville]","2012_13","Rate.per.10.000.bed.days",1.69
"Royal Melbourne Hospital [Parkville]","2013_14","Rate.per.10.000.bed.days",1.35
"Royal Melbourne Hospital [Parkville]","2014_15","Rate.per.10.000.bed.days",1.09
"Royal Melbourne Hospital [Parkville]","2015_16","Rate.per.10.000.bed.days",0.84
"Royal Melbourne Hospital [Parkville]","2016_17","Rate.per.10.000.bed.days",0.65
"Royal Melbourne Hospital  Royal Park Campus","2010_11","Rate.per.10.000.bed.days",0
"Royal Melbourne Hospital  Royal Park Campus","2011_12","Rate.per.10.000.bed.days",0.26
"Royal Melbourne Hospital  Royal Park Campus","2012_13","Rate.per.10.000.bed.days",1.27
"Royal Melbourne Hospital  Royal Park Campus","2013_14","Rate.per.10.000.bed.days",0.74
"Royal Melbourne Hospital  Royal Park Campus","2014_15","Rate.per.10.000.bed.days",1
"Royal Melbourne Hospital  Royal Park Campus","2015_16","Rate.per.10.000.bed.days",0.24
"Royal Melbourne Hospital  Royal Park Campus","2016_17","Rate.per.10.000.bed.days",0.2
"Royal Talbot Rehabilitation Centre [Kew]","2010_11","Rate.per.10.000.bed.days",0.45
"Royal Talbot Rehabilitation Centre [Kew]","2011_12","Rate.per.10.000.bed.days",0
"Royal Talbot Rehabilitation Centre [Kew]","2012_13","Rate.per.10.000.bed.days",0
"Royal Talbot Rehabilitation Centre [Kew]","2013_14","Rate.per.10.000.bed.days",0
"Royal Talbot Rehabilitation Centre [Kew]","2014_15","Rate.per.10.000.bed.days",0
"Royal Talbot Rehabilitation Centre [Kew]","2015_16","Rate.per.10.000.bed.days",0.36
"Royal Talbot Rehabilitation Centre [Kew]","2016_17","Rate.per.10.000.bed.days",0.36
"Royal Women's Hospital [Parkville]","2010_11","Rate.per.10.000.bed.days",0.72
"Royal Women's Hospital [Parkville]","2011_12","Rate.per.10.000.bed.days",0.28
"Royal Women's Hospital [Parkville]","2012_13","Rate.per.10.000.bed.days",0.59
"Royal Women's Hospital [Parkville]","2013_14","Rate.per.10.000.bed.days",1.46
"Royal Women's Hospital [Parkville]","2014_15","Rate.per.10.000.bed.days",0.58
"Royal Women's Hospital [Parkville]","2015_16","Rate.per.10.000.bed.days",0.29
"Royal Women's Hospital [Parkville]","2016_17","Rate.per.10.000.bed.days",1.16
"Rural Northwest Health [Hopetoun]","2010_11","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Hopetoun]","2011_12","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Hopetoun]","2012_13","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Hopetoun]","2013_14","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Hopetoun]","2014_15","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Hopetoun]","2015_16","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Hopetoun]","2016_17","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Warracknabeal]","2010_11","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Warracknabeal]","2011_12","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Warracknabeal]","2012_13","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Warracknabeal]","2013_14","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Warracknabeal]","2014_15","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Warracknabeal]","2015_16","Rate.per.10.000.bed.days",NA
"Rural Northwest Health [Warracknabeal]","2016_17","Rate.per.10.000.bed.days",NA
"Sandringham Hospital","2010_11","Rate.per.10.000.bed.days",1.03
"Sandringham Hospital","2011_12","Rate.per.10.000.bed.days",0
"Sandringham Hospital","2012_13","Rate.per.10.000.bed.days",0.6
"Sandringham Hospital","2013_14","Rate.per.10.000.bed.days",0.38
"Sandringham Hospital","2014_15","Rate.per.10.000.bed.days",1.37
"Sandringham Hospital","2015_16","Rate.per.10.000.bed.days",0.33
"Sandringham Hospital","2016_17","Rate.per.10.000.bed.days",0.35
"Sea Lake & District Hospital","2012_13","Rate.per.10.000.bed.days",NA
"Sea Lake & District Hospital","2013_14","Rate.per.10.000.bed.days",NA
"Sea Lake & District Hospital","2014_15","Rate.per.10.000.bed.days",NA
"Sea Lake & District Hospital","2015_16","Rate.per.10.000.bed.days",NA
"Sea Lake & District Hospital","2016_17","Rate.per.10.000.bed.days",NA
"Seymour District Memorial Hospital","2010_11","Rate.per.10.000.bed.days",0
"Seymour District Memorial Hospital","2011_12","Rate.per.10.000.bed.days",0
"Seymour District Memorial Hospital","2012_13","Rate.per.10.000.bed.days",1.52
"Seymour District Memorial Hospital","2013_14","Rate.per.10.000.bed.days",0
"Seymour District Memorial Hospital","2014_15","Rate.per.10.000.bed.days",0
"Seymour District Memorial Hospital","2015_16","Rate.per.10.000.bed.days",0
"Seymour District Memorial Hospital","2016_17","Rate.per.10.000.bed.days",0
"South Gippsland Hospital [Foster]","2010_11","Rate.per.10.000.bed.days",NA
"South Gippsland Hospital [Foster]","2011_12","Rate.per.10.000.bed.days",NA
"South Gippsland Hospital [Foster]","2012_13","Rate.per.10.000.bed.days",NA
"South Gippsland Hospital [Foster]","2013_14","Rate.per.10.000.bed.days",NA
"South Gippsland Hospital [Foster]","2014_15","Rate.per.10.000.bed.days",NA
"South Gippsland Hospital [Foster]","2015_16","Rate.per.10.000.bed.days",NA
"South Gippsland Hospital [Foster]","2016_17","Rate.per.10.000.bed.days",NA
"South West Healthcare [Camperdown]","2010_11","Rate.per.10.000.bed.days",NA
"South West Healthcare [Camperdown]","2011_12","Rate.per.10.000.bed.days",NA
"South West Healthcare [Camperdown]","2012_13","Rate.per.10.000.bed.days",NA
"South West Healthcare [Camperdown]","2013_14","Rate.per.10.000.bed.days",NA
"South West Healthcare [Camperdown]","2014_15","Rate.per.10.000.bed.days",NA
"South West Healthcare [Camperdown]","2015_16","Rate.per.10.000.bed.days",NA
"South West Healthcare [Camperdown]","2016_17","Rate.per.10.000.bed.days",NA
"South West Healthcare [Warrnambool]","2010_11","Rate.per.10.000.bed.days",1.76
"South West Healthcare [Warrnambool]","2011_12","Rate.per.10.000.bed.days",0.67
"South West Healthcare [Warrnambool]","2012_13","Rate.per.10.000.bed.days",0.58
"South West Healthcare [Warrnambool]","2013_14","Rate.per.10.000.bed.days",0
"South West Healthcare [Warrnambool]","2014_15","Rate.per.10.000.bed.days",0.58
"South West Healthcare [Warrnambool]","2015_16","Rate.per.10.000.bed.days",0.96
"South West Healthcare [Warrnambool]","2016_17","Rate.per.10.000.bed.days",0.85
"St George's Health Service  Aged Care","2010_11","Rate.per.10.000.bed.days",0
"St George's Health Service  Aged Care","2011_12","Rate.per.10.000.bed.days",0.97
"St George's Health Service  Aged Care","2012_13","Rate.per.10.000.bed.days",0
"St George's Health Service  Aged Care","2013_14","Rate.per.10.000.bed.days",0
"St George's Health Service  Aged Care","2014_15","Rate.per.10.000.bed.days",0
"St George's Health Service  Aged Care","2015_16","Rate.per.10.000.bed.days",0
"St George's Health Service  Aged Care","2016_17","Rate.per.10.000.bed.days",0
"St Vincent's Hospital [Fitzroy]","2010_11","Rate.per.10.000.bed.days",1.15
"St Vincent's Hospital [Fitzroy]","2011_12","Rate.per.10.000.bed.days",1.47
"St Vincent's Hospital [Fitzroy]","2012_13","Rate.per.10.000.bed.days",1.01
"St Vincent's Hospital [Fitzroy]","2013_14","Rate.per.10.000.bed.days",1.47
"St Vincent's Hospital [Fitzroy]","2014_15","Rate.per.10.000.bed.days",1.11
"St Vincent's Hospital [Fitzroy]","2015_16","Rate.per.10.000.bed.days",0.89
"St Vincent's Hospital [Fitzroy]","2016_17","Rate.per.10.000.bed.days",1.42
"Stawell Regional Health","2010_11","Rate.per.10.000.bed.days",0
"Stawell Regional Health","2011_12","Rate.per.10.000.bed.days",0
"Stawell Regional Health","2012_13","Rate.per.10.000.bed.days",0
"Stawell Regional Health","2013_14","Rate.per.10.000.bed.days",0
"Stawell Regional Health","2014_15","Rate.per.10.000.bed.days",0
"Stawell Regional Health","2015_16","Rate.per.10.000.bed.days",0
"Stawell Regional Health","2016_17","Rate.per.10.000.bed.days",0
"Sunbury Day Hospital","2010_11","Rate.per.10.000.bed.days",NA
"Sunbury Day Hospital","2011_12","Rate.per.10.000.bed.days",0
"Sunbury Day Hospital","2012_13","Rate.per.10.000.bed.days",0
"Sunbury Day Hospital","2013_14","Rate.per.10.000.bed.days",0
"Sunbury Day Hospital","2014_15","Rate.per.10.000.bed.days",0
"Sunbury Day Hospital","2015_16","Rate.per.10.000.bed.days",0
"Sunbury Day Hospital","2016_17","Rate.per.10.000.bed.days",1.28
"Sunshine Hospital","2010_11","Rate.per.10.000.bed.days",0.82
"Sunshine Hospital","2011_12","Rate.per.10.000.bed.days",0.56
"Sunshine Hospital","2012_13","Rate.per.10.000.bed.days",0.41
"Sunshine Hospital","2013_14","Rate.per.10.000.bed.days",0.35
"Sunshine Hospital","2014_15","Rate.per.10.000.bed.days",0.56
"Sunshine Hospital","2015_16","Rate.per.10.000.bed.days",0.25
"Sunshine Hospital","2016_17","Rate.per.10.000.bed.days",0.43
"Swan Hill District Health [Nyah]","2010_11","Rate.per.10.000.bed.days",NA
"Swan Hill District Health [Nyah]","2011_12","Rate.per.10.000.bed.days",NA
"Swan Hill District Health [Nyah]","2012_13","Rate.per.10.000.bed.days",NA
"Swan Hill District Health [Nyah]","2013_14","Rate.per.10.000.bed.days",NA
"Swan Hill District Health [Nyah]","2014_15","Rate.per.10.000.bed.days",NA
"Swan Hill District Health [Nyah]","2015_16","Rate.per.10.000.bed.days",NA
"Swan Hill District Health [Nyah]","2016_17","Rate.per.10.000.bed.days",NA
"Swan Hill District Health [Swan Hill]","2010_11","Rate.per.10.000.bed.days",0
"Swan Hill District Health [Swan Hill]","2011_12","Rate.per.10.000.bed.days",0
"Swan Hill District Health [Swan Hill]","2012_13","Rate.per.10.000.bed.days",0
"Swan Hill District Health [Swan Hill]","2013_14","Rate.per.10.000.bed.days",0.66
"Swan Hill District Health [Swan Hill]","2014_15","Rate.per.10.000.bed.days",0
"Swan Hill District Health [Swan Hill]","2015_16","Rate.per.10.000.bed.days",0.72
"Swan Hill District Health [Swan Hill]","2016_17","Rate.per.10.000.bed.days",0.77
"Tallangatta Health Service","2010_11","Rate.per.10.000.bed.days",NA
"Tallangatta Health Service","2011_12","Rate.per.10.000.bed.days",NA
"Tallangatta Health Service","2012_13","Rate.per.10.000.bed.days",NA
"Tallangatta Health Service","2013_14","Rate.per.10.000.bed.days",NA
"Tallangatta Health Service","2014_15","Rate.per.10.000.bed.days",NA
"Tallangatta Health Service","2015_16","Rate.per.10.000.bed.days",NA
"Tallangatta Health Service","2016_17","Rate.per.10.000.bed.days",NA
"Terang & Mortlake Health Service [Terang]","2010_11","Rate.per.10.000.bed.days",NA
"Terang & Mortlake Health Service [Terang]","2011_12","Rate.per.10.000.bed.days",NA
"Terang & Mortlake Health Service [Terang]","2012_13","Rate.per.10.000.bed.days",NA
"Terang & Mortlake Health Service [Terang]","2013_14","Rate.per.10.000.bed.days",NA
"Terang & Mortlake Health Service [Terang]","2014_15","Rate.per.10.000.bed.days",NA
"Terang & Mortlake Health Service [Terang]","2015_16","Rate.per.10.000.bed.days",NA
"Terang & Mortlake Health Service [Terang]","2016_17","Rate.per.10.000.bed.days",NA
"The Alfred","2010_11","Rate.per.10.000.bed.days",1.48
"The Alfred","2011_12","Rate.per.10.000.bed.days",1.58
"The Alfred","2012_13","Rate.per.10.000.bed.days",1.39
"The Alfred","2013_14","Rate.per.10.000.bed.days",1.13
"The Alfred","2014_15","Rate.per.10.000.bed.days",1.44
"The Alfred","2015_16","Rate.per.10.000.bed.days",1.12
"The Alfred","2016_17","Rate.per.10.000.bed.days",1.29
"The Bendigo Hospital","2010_11","Rate.per.10.000.bed.days",0.68
"The Bendigo Hospital","2011_12","Rate.per.10.000.bed.days",1
"The Bendigo Hospital","2012_13","Rate.per.10.000.bed.days",0.79
"The Bendigo Hospital","2013_14","Rate.per.10.000.bed.days",1
"The Bendigo Hospital","2014_15","Rate.per.10.000.bed.days",0.34
"The Bendigo Hospital","2015_16","Rate.per.10.000.bed.days",0.55
"The Bendigo Hospital","2016_17","Rate.per.10.000.bed.days",0.53
"The Kilmore & District Hospital","2010_11","Rate.per.10.000.bed.days",0
"The Kilmore & District Hospital","2011_12","Rate.per.10.000.bed.days",0
"The Kilmore & District Hospital","2012_13","Rate.per.10.000.bed.days",0
"The Kilmore & District Hospital","2013_14","Rate.per.10.000.bed.days",NA
"The Kilmore & District Hospital","2014_15","Rate.per.10.000.bed.days",NA
"The Kilmore & District Hospital","2015_16","Rate.per.10.000.bed.days",0
"The Kilmore & District Hospital","2016_17","Rate.per.10.000.bed.days",0
"The McKellar Centre","2010_11","Rate.per.10.000.bed.days",0
"The McKellar Centre","2011_12","Rate.per.10.000.bed.days",0
"The McKellar Centre","2012_13","Rate.per.10.000.bed.days",0
"The McKellar Centre","2013_14","Rate.per.10.000.bed.days",0.58
"The McKellar Centre","2014_15","Rate.per.10.000.bed.days",0.28
"The McKellar Centre","2015_16","Rate.per.10.000.bed.days",0.85
"The McKellar Centre","2016_17","Rate.per.10.000.bed.days",0.88
"The Mornington Centre","2010_11","Rate.per.10.000.bed.days",0
"The Mornington Centre","2011_12","Rate.per.10.000.bed.days",0.45
"The Mornington Centre","2012_13","Rate.per.10.000.bed.days",0
"The Mornington Centre","2013_14","Rate.per.10.000.bed.days",1.19
"The Mornington Centre","2014_15","Rate.per.10.000.bed.days",0
"The Mornington Centre","2015_16","Rate.per.10.000.bed.days",0.6
"The Mornington Centre","2016_17","Rate.per.10.000.bed.days",0
"The Northern Hospital [Epping]","2010_11","Rate.per.10.000.bed.days",1.34
"The Northern Hospital [Epping]","2011_12","Rate.per.10.000.bed.days",0.76
"The Northern Hospital [Epping]","2012_13","Rate.per.10.000.bed.days",1.33
"The Northern Hospital [Epping]","2013_14","Rate.per.10.000.bed.days",0.83
"The Northern Hospital [Epping]","2014_15","Rate.per.10.000.bed.days",0.87
"The Northern Hospital [Epping]","2015_16","Rate.per.10.000.bed.days",0.38
"The Northern Hospital [Epping]","2016_17","Rate.per.10.000.bed.days",0.9
"The Peter James Centre [East Burwood]","2010_11","Rate.per.10.000.bed.days",0.18
"The Peter James Centre [East Burwood]","2011_12","Rate.per.10.000.bed.days",0.18
"The Peter James Centre [East Burwood]","2012_13","Rate.per.10.000.bed.days",0.39
"The Peter James Centre [East Burwood]","2013_14","Rate.per.10.000.bed.days",0.21
"The Peter James Centre [East Burwood]","2014_15","Rate.per.10.000.bed.days",0
"The Peter James Centre [East Burwood]","2015_16","Rate.per.10.000.bed.days",0.23
"The Peter James Centre [East Burwood]","2016_17","Rate.per.10.000.bed.days",0.7
"The Royal Victorian Eye & Ear Hospital","2010_11","Rate.per.10.000.bed.days",0
"The Royal Victorian Eye & Ear Hospital","2011_12","Rate.per.10.000.bed.days",1.14
"The Royal Victorian Eye & Ear Hospital","2012_13","Rate.per.10.000.bed.days",0
"The Royal Victorian Eye & Ear Hospital","2013_14","Rate.per.10.000.bed.days",0
"The Royal Victorian Eye & Ear Hospital","2014_15","Rate.per.10.000.bed.days",0
"The Royal Victorian Eye & Ear Hospital","2015_16","Rate.per.10.000.bed.days",0
"The Royal Victorian Eye & Ear Hospital","2016_17","Rate.per.10.000.bed.days",0
"Timboon & District Healthcare Service","2010_11","Rate.per.10.000.bed.days",NA
"Timboon & District Healthcare Service","2011_12","Rate.per.10.000.bed.days",NA
"Timboon & District Healthcare Service","2012_13","Rate.per.10.000.bed.days",NA
"Timboon & District Healthcare Service","2013_14","Rate.per.10.000.bed.days",NA
"Timboon & District Healthcare Service","2014_15","Rate.per.10.000.bed.days",NA
"Timboon & District Healthcare Service","2015_16","Rate.per.10.000.bed.days",NA
"Timboon & District Healthcare Service","2016_17","Rate.per.10.000.bed.days",NA
"Tweddle Child & Family Health Centre [Footscray]","2010_11","Rate.per.10.000.bed.days",0
"Tweddle Child & Family Health Centre [Footscray]","2011_12","Rate.per.10.000.bed.days",0
"Tweddle Child & Family Health Centre [Footscray]","2012_13","Rate.per.10.000.bed.days",0
"Tweddle Child & Family Health Centre [Footscray]","2013_14","Rate.per.10.000.bed.days",0
"Tweddle Child & Family Health Centre [Footscray]","2014_15","Rate.per.10.000.bed.days",0
"Tweddle Child & Family Health Centre [Footscray]","2015_16","Rate.per.10.000.bed.days",0
"Tweddle Child & Family Health Centre [Footscray]","2016_17","Rate.per.10.000.bed.days",0
"University Hospital Geelong","2010_11","Rate.per.10.000.bed.days",0.7
"University Hospital Geelong","2011_12","Rate.per.10.000.bed.days",1.45
"University Hospital Geelong","2012_13","Rate.per.10.000.bed.days",1.28
"University Hospital Geelong","2013_14","Rate.per.10.000.bed.days",0.67
"University Hospital Geelong","2014_15","Rate.per.10.000.bed.days",0.82
"University Hospital Geelong","2015_16","Rate.per.10.000.bed.days",0.81
"University Hospital Geelong","2016_17","Rate.per.10.000.bed.days",1.03
"Victorian Institute of Forensic Mental Health","2010_11","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health","2011_12","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health","2012_13","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health","2013_14","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health","2014_15","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health","2015_16","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health","2016_17","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health Prison Health Service","2010_11","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health Prison Health Service","2011_12","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health Prison Health Service","2012_13","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health Prison Health Service","2013_14","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health Prison Health Service","2014_15","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health Prison Health Service","2015_16","Rate.per.10.000.bed.days",NA
"Victorian Institute of Forensic Mental Health Prison Health Service","2016_17","Rate.per.10.000.bed.days",NA
"Wantirna Health","2010_11","Rate.per.10.000.bed.days",0.47
"Wantirna Health","2011_12","Rate.per.10.000.bed.days",0
"Wantirna Health","2012_13","Rate.per.10.000.bed.days",0.48
"Wantirna Health","2013_14","Rate.per.10.000.bed.days",0
"Wantirna Health","2014_15","Rate.per.10.000.bed.days",0.45
"Wantirna Health","2015_16","Rate.per.10.000.bed.days",0.44
"Wantirna Health","2016_17","Rate.per.10.000.bed.days",0
"Werribee Mercy Hospital","2010_11","Rate.per.10.000.bed.days",0
"Werribee Mercy Hospital","2011_12","Rate.per.10.000.bed.days",0.91
"Werribee Mercy Hospital","2012_13","Rate.per.10.000.bed.days",0.64
"Werribee Mercy Hospital","2013_14","Rate.per.10.000.bed.days",0.61
"Werribee Mercy Hospital","2014_15","Rate.per.10.000.bed.days",0.27
"Werribee Mercy Hospital","2015_16","Rate.per.10.000.bed.days",1.16
"Werribee Mercy Hospital","2016_17","Rate.per.10.000.bed.days",0.59
"West Gippsland Healthcare Group [Warragul]","2010_11","Rate.per.10.000.bed.days",0.73
"West Gippsland Healthcare Group [Warragul]","2011_12","Rate.per.10.000.bed.days",1.02
"West Gippsland Healthcare Group [Warragul]","2012_13","Rate.per.10.000.bed.days",0.74
"West Gippsland Healthcare Group [Warragul]","2013_14","Rate.per.10.000.bed.days",0.36
"West Gippsland Healthcare Group [Warragul]","2014_15","Rate.per.10.000.bed.days",0.38
"West Gippsland Healthcare Group [Warragul]","2015_16","Rate.per.10.000.bed.days",0
"West Gippsland Healthcare Group [Warragul]","2016_17","Rate.per.10.000.bed.days",0
"West Wimmera Health Service [Jeparit]","2010_11","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Jeparit]","2011_12","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Jeparit]","2012_13","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Jeparit]","2013_14","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Jeparit]","2014_15","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Jeparit]","2015_16","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Jeparit]","2016_17","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Kaniva]","2010_11","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Kaniva]","2011_12","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Kaniva]","2012_13","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Kaniva]","2013_14","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Kaniva]","2014_15","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Kaniva]","2015_16","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Kaniva]","2016_17","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Nhill]","2010_11","Rate.per.10.000.bed.days",0
"West Wimmera Health Service [Nhill]","2011_12","Rate.per.10.000.bed.days",0
"West Wimmera Health Service [Nhill]","2012_13","Rate.per.10.000.bed.days",0
"West Wimmera Health Service [Nhill]","2013_14","Rate.per.10.000.bed.days",0
"West Wimmera Health Service [Nhill]","2014_15","Rate.per.10.000.bed.days",0
"West Wimmera Health Service [Nhill]","2015_16","Rate.per.10.000.bed.days",0
"West Wimmera Health Service [Nhill]","2016_17","Rate.per.10.000.bed.days",0
"West Wimmera Health Service [Rainbow]","2010_11","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Rainbow]","2011_12","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Rainbow]","2012_13","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Rainbow]","2013_14","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Rainbow]","2014_15","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Rainbow]","2015_16","Rate.per.10.000.bed.days",NA
"West Wimmera Health Service [Rainbow]","2016_17","Rate.per.10.000.bed.days",NA
"Western District Health Service [Coleraine District Health Service]","2010_11","Rate.per.10.000.bed.days",NA
"Western District Health Service [Coleraine District Health Service]","2011_12","Rate.per.10.000.bed.days",NA
"Western District Health Service [Coleraine District Health Service]","2012_13","Rate.per.10.000.bed.days",NA
"Western District Health Service [Coleraine District Health Service]","2013_14","Rate.per.10.000.bed.days",NA
"Western District Health Service [Coleraine District Health Service]","2014_15","Rate.per.10.000.bed.days",NA
"Western District Health Service [Coleraine District Health Service]","2015_16","Rate.per.10.000.bed.days",NA
"Western District Health Service [Coleraine District Health Service]","2016_17","Rate.per.10.000.bed.days",NA
"Western District Health Service [Hamilton]","2010_11","Rate.per.10.000.bed.days",0.53
"Western District Health Service [Hamilton]","2011_12","Rate.per.10.000.bed.days",0.57
"Western District Health Service [Hamilton]","2012_13","Rate.per.10.000.bed.days",0.64
"Western District Health Service [Hamilton]","2013_14","Rate.per.10.000.bed.days",0
"Western District Health Service [Hamilton]","2014_15","Rate.per.10.000.bed.days",0
